"long","lat","order","piece","id","group"
126.908885458,37.558247327,1,"1","0","0.1"
126.908429985,37.558153823,2,"1","0","0.1"
127.036168326,37.550360842,1,"1","1","1.1"
127.035987339,37.550197497,2,"1","1","1.1"
127.078018632,37.567934211,1,"1","2","2.1"
127.077658731,37.567285145,2,"1","2","2.1"
126.899354991,37.563500701,1,"1","3","3.1"
126.899414436,37.56432269,2,"1","3","3.1"
126.899777262,37.564223142,1,"1","4","4.1"
126.899805541,37.564746439,2,"1","4","4.1"
126.914221855,37.566116124,1,"1","5","5.1"
126.913670874,37.565932385,2,"1","5","5.1"
126.910403674,37.565045632,1,"1","6","6.1"
126.909431745,37.564788092,2,"1","6","6.1"
126.913892346,37.5663854,1,"1","7","7.1"
126.913258385,37.566208471,2,"1","7","7.1"
126.912525929,37.566004498,1,"1","8","8.1"
126.911786302,37.565810118,2,"1","8","8.1"
126.898689707,37.561542341,1,"1","9","9.1"
126.897942683,37.561210766,2,"1","9","9.1"
126.894511335,37.55980575,1,"1","10","10.1"
126.893934755,37.559535399,2,"1","10","10.1"
126.89338449,37.555984795,1,"1","11","11.1"
126.89357995,37.555827152,2,"1","11","11.1"
126.908218528,37.545527956,1,"1","12","12.1"
126.908918465,37.545033813,2,"1","12","12.1"
126.928113882,37.543553269,1,"1","13","13.1"
126.92868316,37.543258167,2,"1","13","13.1"
126.936264424,37.541687648,1,"1","14","14.1"
126.936911094,37.541543026,2,"1","14","14.1"
126.93766854,37.541171395,1,"1","15","15.1"
126.938250935,37.540844956,2,"1","15","15.1"
126.942537597,37.536225454,1,"1","16","16.1"
126.94284171,37.535783204,2,"1","16","16.1"
126.993369859,37.522586257,1,"1","17","17.1"
126.993482538,37.521955248,2,"1","17","17.1"
126.909097631,37.558293282,1,"1","18","18.1"
126.908885458,37.558247327,2,"1","18","18.1"
127.081750535,37.531545841,1,"1","19","19.1"
127.081022604,37.531686051,2,"1","19","19.1"
127.075050664,37.530593456,1,"1","20","20.1"
127.07533313,37.531549161,2,"1","20","20.1"
127.032248903,37.544930324,1,"1","21","21.1"
127.031610247,37.544434283,2,"1","21","21.1"
126.912551797,37.559017328,1,"1","22","22.1"
126.911864224,37.558876533,2,"1","22","22.1"
127.11068716,37.547856582,1,"1","23","23.1"
127.110828989,37.548761979,2,"1","23","23.1"
126.899732174,37.563388764,1,"1","24","24.1"
126.899777262,37.564223142,2,"1","24","24.1"
127.045111692,37.551749983,1,"1","25","25.1"
