No,uniquenum,naming,code,named,decidenumber,number,label,date,lat,long,지번주소,도로명주소
1,1,자연경관지구_118,UQF110,자연경관지구,83688,276,본동지구,19771203,37.5088929,126.9576046, 동작구 흑석동 198-62, 동작구 흑석로5길 70
2,2,자연경관지구_UQF11020120808523,UQF110,자연경관지구,UQF11020120808523,58029298,남산지구,20120712,37.5481364,126.9956331, 중구 장충동2가 산 14-21,
3,3,시계경관지구_105,UQFP11,시계경관지구, , ,신월지구, ,37.522561,126.8254369, 양천구 신월동 331-58,경기도 부천시 지양로170번길 1
4,5,자연경관지구_102,UQF110,자연경관지구,83704,276,서강지구,19771203,37.5515928,126.9414333, 마포구 대흥동 22-60, 마포구 백범로 35
5,6,자연경관지구_67,UQF110,자연경관지구,101176,11000404,안암지구,20010613,37.5909498,127.0298839, 성북구 안암동5가 산 1-61, 성북구 안암동5가 안암로 145
6,8,11,UQF110,자연경관지구,UQF11020070129125,58001169,자연경관지구,20060727,37.6297961,127.0034316, 강북구 수유동 산 164-5, 강북구 인수봉로23길 235
7,9,자연경관지구_23,UQF110,자연경관지구,40576,2405,평창지구,20000417,37.605448,126.9675221, 종로구 평창동 234-8, 종로구 평창10길 5
8,10,13,UQF110,자연경관지구,UQF11020071009137,58005210,자연경관지구,20070628,37.584236,127.0613881, 동대문구 전농동 694, 동대문구 서울시립대로 163
9,11,자연경관지구_UQF11020091203001,UQF110,자연경관지구,UQF11020091203001,58019631,자연경관지구,20091119,37.581147,126.9743089, 종로구 세종로 1-1, 종로구 효자로 49
10,14,시계경관지구_117,UQFP11,시계경관지구,116785,11200716,시흥지구,20050519,37.4430552,126.9014106, 금천구 시흥동 984, 금천구 시흥대로 97
11,18,자연경관지구_38,UQF110,자연경관지구,35506,4471,마포지구,19980311,37.5351659,126.9453618, 마포구 마포동 419-11, 마포구 마포대로4길 127
12,22,자연경관지구_00001,UQF110,자연경관지구, , ,자연경관지구, ,37.5690414,126.9258381, 서대문구 연희동 437-42, 서대문구 연희로11마길 47-13
13,23,9,UQF110,자연경관지구,UQF11020061117119,9577,자연경관지구,20060831,37.5934468,126.9972961, 성북구 성북동 99-1, 성북구 성북로 102-9
14,4,시계경관지구_104,UQFP11,시계경관지구,35127,5100256,신월지구,19960719,37.5304323,126.8253678, 양천구 신월동 149-7, 양천구 가로공원로58길 46
15,7,자연경관지구_95,UQF110,자연경관지구,UQF11020060201050,8234,안산지구,20060126,37.5747165,126.9437697, 서대문구 봉원동 산 1, 서대문구 봉원사길 120
16,12,자연경관지구_42,UQF110,자연경관지구,30306,1658,효창지구,19950106,37.5452771,126.9647293, 용산구 청파동2가 53-41, 용산구 청파동2가 청파로47길 100
17,13,자연경관지구_120596,UQF110,자연경관지구,120596,1047,자연경관지구,19910109,37.5064455,126.9308267, 동작구 대방동 23-179, 동작구 등용로 63-21
18,15,자연경관지구_53,UQF110,자연경관지구,67893,2995,행당지구,19891108,37.5588802,127.0454201, 성동구 사근동 110, 성동구 왕십리로 222-1
19,20,자연경관지구_59,UQF110,자연경관지구,103905,12000163,능동지구,20020308,37.5471415,127.0791949, 광진구 능동 18, 광진구 능동로 216
20,16,775,UQF110,자연경관지구,UQF11020060522077,9084,경관지구(금호지구),20060216,37.5395821,127.00935, 용산구 한남동 산 8-72, 성동구 독서당로39길 22
21,17,자연경관지구_124,UQF110,용도지구,83669,276,풍치지구,19980311,37.5479453,126.855485, 강서구 화곡동 1134-14, 강서구 까치산로24길 47
22,21,자연경관지구_56,UQF110,자연경관지구,62878,3893,광장지구,19860409,37.5471424,127.0992754, 광진구 광장동 384-11, 광진구 광장로1가길 49
23,19,시계경관지구_128,UQFP11,시계경관지구,110187,13500327,세곡지구,20031226,37.4702093,127.1247427, 송파구 장지동 613-13, 송파구 성남대로 1565
24,24,15,UQF110,자연경관지구,UQF11020090501308,58014986,자연경관지구,20090423,37.5969332,127.0491606, 동대문구 회기동 1-5, 동대문구 경희대로 26
