관리일자,지사,노선코드,노선명,방향,차로,시점,종점,포장형태,표층재,교면구분,교량명,공사구분
1994,원주지사,0500,영동선,강릉,2,103,104,아스팔트,일반아스팔트,교량부,섬강교,확장
1994,원주지사,0500,영동선,강릉,2,104,109,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,109,109,아스팔트,일반아스팔트,교량부,둔번교,확장
1994,원주지사,0500,영동선,강릉,2,109,109,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,109,109,아스팔트,일반아스팔트,교량부,둔번1교,확장
1994,원주지사,0500,영동선,강릉,2,109,110,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,110,111,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,111,111,아스팔트,일반아스팔트,교량부,궁촌교,확장
1994,원주지사,0500,영동선,강릉,2,111,111,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,111,112,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,112,112,아스팔트,일반아스팔트,교량부,포진1교,확장
1994,원주지사,0500,영동선,강릉,2,112,112,콘크리트,JCP,토공부,,확장
2003,대구지사,0010,경부선,부산,4,138,138,콘크리트,JCP,토공부,,신설
20080722,창원지사,0102,남해선(순천부산),순천,1,132,133,아스팔트,,토공부,,확장
20130807,천안지사,0010,경부선,부산,3,306,306,아스팔트,,교량부,학천철육교,확장
1994,원주지사,0500,영동선,인천,2,102,102,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,2,102,102,콘크리트,JCP,터널부,강천터널,확장
1994,원주지사,0500,영동선,인천,2,102,103,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,113,113,아스팔트,일반아스팔트,교량부,포진3교,확장
1994,원주지사,0500,영동선,강릉,2,113,114,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,114,115,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,115,115,아스팔트,일반아스팔트,교량부,건등1교,확장
1994,원주지사,0500,영동선,강릉,2,115,115,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,2,115,116,아스팔트,일반아스팔트,교량부,건등2교,확장
1994,원주지사,0500,영동선,강릉,2,116,116,콘크리트,JCP,토공부,,확장
