"","all_df_all...1.","long","lat","bike_w_l","security_light_reverse","seoul_scenery","park_loc_area","avgtmp","rain","avghum","pm10","solar","cluster","rank_bike_w_l","rank_security_light_reverse","rank_seoul_scenery","rank_park_loc_area","rank_avgtmp","rank_rain","rank_avghum","rank_pm10","rank_solar"
"1","강남구",126.97942,37.592128,1.57624083780708,-0.8109460199,-0.9985397063,0.06147185168,0.860540237869444,0.214196949593019,0.11294659715138,0.370246380767407,-0.378819894768518,2,23,4,6,17,22,20,16,19,5.5
"2","강동구",126.997985,37.557335,0.417332894779146,0.518606183,-0.9985397063,-0.5146975044,-0.0269731448862833,0.137501508548389,0.0416227329618241,-0.0387935435614815,-0.378819893842593,5,20,17,6,10,10,16,15,14,11.5
"3","강북구",126.981987,37.528582,-1.13104396397536,-3.458600381,0.1361645054,0.08575423819,0.35362994172,0.368593377816204,-0.539907371780861,-0.716160659382926,-0.378819894768518,3,3,1,14.5,19,13,22,4,1,5.5
"4","강서구",127.043114,37.54824,-0.392472229366358,0.1747680879,0.1361645054,-0.3314861095,0.0195079433131481,-0.264000117031481,1.15030303903963,0.49048091502487,0.438330668439815,4,11,16,14.5,12,11,5,25,21,17
"5","관악구",127.088351,37.543059,-0.488179768842448,-0.9123125886,-0.9985397063,1.928541732,-1.36016252150926,0.313528098074546,-0.27771625462,0.732200469330139,0.438330668439815,3,10,3,6,23,3,21,8,24,17
"6","광진구",127.057221,37.579132,1.70645972413208,0.08215743551,0.1361645054,-0.7732557449,0.716175702636204,-0.000946542102120373,-0.151207680579713,0.133268761649889,-0.378819894768518,2,24,13,14.5,5,18,13,10,16,5.5
"7","구로구",127.095157,37.595194,-0.377117034062074,0.1188649305,-0.9985397063,-0.4613000909,-0.292107925539562,-0.0326810550624074,0.521346206626759,0.516157352218056,0.438330669365741,5,12,15,6,11,9,12,19,22,23.5
"8","금천구",127.019697,37.602917,-0.667257184210906,0.9345122039,0.1361645054,-0.9176908925,0.355171958817991,-0.098018147210463,0.222181393303981,-0.226113566548426,0.438330668439815,4,8,23,14.5,1,14,9,18,10,17
"9","노원구",127.013272,37.64071,0.293220253855463,1.78114195,-0.9985397063,2.423564026,-1.19390284760639,-0.134798134616602,0.544189174820741,-0.503477238936722,-0.378819894768518,3,17,25,6,24,4,8,21,3,5.5
"10","도봉구",127.034471,37.66633,-0.671597987516152,0.9193577335,-0.9985397063,-0.636013903,-0.774827030134194,0.616877629765833,0.838460841985185,-0.568755105591111,-0.378819894768518,4,7,22,6,7,6,25,24,2,5.5
