2009 01 01    9.40   -6.57  -11.39   -2.94  -12.34   -8.15              0.69              0.69              2.92              2.91
2009 01 02    9.83   -5.39   -9.31   -0.38  -10.22   -5.76              0.69              0.69              2.94              2.93
2009 01 03    9.25   -4.00   -7.89    1.66   -7.59   -3.31              0.66              0.66              2.89              2.88
2009 01 04    6.11   -1.58   -7.22    2.65   -3.47   -1.43              0.69              0.69              3.00              2.98
2009 01 05    7.30   -3.07   -6.98    0.62   -6.68   -3.21              0.52              0.52              -999              2.27
2009 01 06    7.50   -4.06   -8.79   -0.12   -7.62   -3.87              0.63              0.63              -999              2.72
2009 01 07    9.04   -3.40   -8.80    2.46   -6.58   -2.87              0.67              0.67              2.98              2.98
2009 01 08    7.13   -3.36   -7.77    1.30   -5.83   -3.19              0.65              0.65              -999              2.84
2009 01 09    7.62   -5.31  -10.33   -2.10   -9.71   -6.11              0.65              0.65              -999              2.91
2009 01 10    7.98   -7.66  -13.13   -4.90  -12.88   -9.40              0.69              0.69              3.12              3.08
2009 01 11    7.70   -8.05  -13.90   -5.53  -13.23   -9.64              0.68              0.68              3.10              3.06
2009 01 12    7.69   -7.20  -11.68   -4.35  -12.04   -8.70              0.63              0.63              -999              2.81
2009 01 13    9.79   -6.93  -11.29   -2.62  -12.42   -7.71              0.68              0.68              3.16              3.14
2009 01 14    7.90   -7.44  -13.29   -4.81  -12.72   -8.73              0.70              0.70              3.24              3.24
2009 01 15   10.97   -7.34  -12.77   -3.32  -14.29   -8.38              0.69              0.69              3.21              3.19
2009 01 16    6.64   -3.15   -5.35    1.43   -5.21   -2.16              0.55              0.55              -999              2.55
2009 01 17   10.04   -3.01   -4.56    2.88   -7.16   -2.58              0.67              0.67              -999              3.14
2009 01 18    6.61   -0.74   -1.07    2.71   -3.90   -0.35              0.47              0.47              -999              2.20
2009 01 19    9.57   -2.34   -6.83    2.94   -6.63   -2.16              0.73              0.73              3.44              3.42
2009 01 20    8.16   -0.34   -7.42    4.00   -4.16   -0.04              0.67              0.67              -999              3.22
2009 01 21    5.70    1.18   -2.26    5.40   -0.30    1.88              0.35              0.35              -999              1.74
2009 01 22   11.05    1.35   -1.17    6.69   -4.37    1.25              0.56              0.56              -999              2.73
2009 01 23    7.22   -6.70  -14.31   -5.00  -12.22   -8.85              0.64              0.64              -999              3.11
2009 01 24    5.87   -6.56  -10.23   -6.16  -12.04   -7.87              0.51              0.51              -999              2.56
2009 01 25   10.29   -5.02   -8.39   -0.21  -10.49   -5.19              0.52              0.52              -999              2.60
2009 01 26    6.98   -4.50   -9.82   -1.18   -8.15   -4.98              0.67              0.67              -999              3.42
2009 01 27   10.44   -4.39   -7.86    1.83   -8.61   -3.68              0.68              0.68              -999              3.58
2009 01 28   11.70   -2.84   -6.86    4.04   -7.67   -1.56              0.68              0.68              3.56              3.56
2009 01 29   10.09   -0.28   -5.76    7.15   -2.94    1.22              0.64              0.64              -999              3.36
2009 01 30    7.93    1.27   -0.35    7.08   -0.85    1.81              0.67              0.67              -999              3.51
2009 01 31    8.36    1.33   -0.93    7.04   -1.32    1.72              0.68              0.68              -999              3.59
2009 02 01    8.91    1.36   -1.54    7.15   -1.76    2.31              0.65              0.65              -999              3.49
2009 02 02    5.17    1.81    1.93    5.29    0.12    2.27              0.41              0.41              -999              2.24
2009 02 03    9.59    1.95   -0.37    8.09   -1.50    2.25              0.63              0.63              -999              3.48
2009 02 04    7.99    1.19   -1.34    6.18   -1.81    1.14              0.59              0.59              3.85              3.33
2009 02 05    6.14    0.70    0.33    4.97   -1.17    1.48              0.39              0.39              -999              2.19
2009 02 06    6.93    0.14   -1.45    4.96   -1.97    0.68              0.51              0.51              -999              2.83
2009 02 07    9.47    1.19   -0.91    7.05   -2.43    1.53              0.36              0.36              -999              2.05
2009 02 08    9.95    1.26   -5.80    6.73   -3.22    1.39              0.69              0.69              4.08              4.01
2009 02 09    6.78    1.21   -3.19    6.15   -0.63    1.75              0.57              0.57              -999              3.28
2009 02 10    5.85    2.43    0.91    6.35    0.50    2.46              0.39              0.39              -999              2.31
2009 02 11    7.18    2.98   -0.01    8.54    1.36    4.06              0.44              0.44              -999              2.59
2009 02 12   11.44    4.28    0.77   10.21   -1.23    4.82              0.29              0.29              -999              1.74
2009 02 13   12.63    6.67    6.53   11.43   -1.20    7.42              0.14              0.14              -999              0.82
2009 02 14    7.02   -0.16   -3.35    3.61   -3.42   -0.33              0.29              0.29              -999              1.74
2009 02 15    7.16   -1.61  -10.82    0.42   -6.75   -2.97              0.38              0.38              -999              2.31
2009 02 16    6.63   -4.28  -13.76   -2.39   -9.02   -6.38              0.70              0.70              4.48              4.44
2009 02 17   10.86   -3.72  -11.65   -0.55  -11.41   -5.97              0.73              0.73              4.69              4.66
2009 02 18    9.42   -2.82  -10.57    0.83   -8.59   -4.15              0.64              0.64              4.41              4.06
2009 02 19    7.61   -0.61   -6.72    2.84   -4.77   -1.22              0.33              0.33              -999              2.06
2009 02 20    8.30   -2.02   -8.09   -0.78   -9.08   -3.24              0.68              0.68              4.64              4.35
2009 02 21   11.48   -3.03   -7.83    1.28  -10.21   -4.22              0.72              0.72              -999              4.62
2009 02 22    7.01    0.67   -1.64    5.06   -1.95    0.85              0.39              0.39              -999              2.55
