"X","long","lat","Áö¹øÁÖ¼Ò","cluster"
10733,127.0273785,37.66191458,"µµºÀ±¸",2
10734,127.0273785,37.66191458,"µµºÀ±¸",2
10602,127.0274001,37.66177603,"µµºÀ±¸",2
10603,127.0275648,37.66192915,"µµºÀ±¸",2
10589,127.0275918,37.66168913,"µµºÀ±¸",2
10591,127.0278371,37.66195038,"µµºÀ±¸",2
10593,127.0278371,37.66195038,"µµºÀ±¸",2
10588,127.0278711,37.66171396,"µµºÀ±¸",2
10594,127.0278711,37.66171396,"µµºÀ±¸",2
10592,127.028382,37.66199952,"µµºÀ±¸",2
10597,127.028382,37.66199952,"µµºÀ±¸",2
10742,127.0287277,37.64443095,"µµºÀ±¸",1
10743,127.0289211,37.64425855,"µµºÀ±¸",1
10736,127.029314,37.64405895,"µµºÀ±¸",1
10739,127.029314,37.64405895,"µµºÀ±¸",1
10741,127.0294166,37.64408402,"µµºÀ±¸",1
10598,127.0294981,37.66210885,"µµºÀ±¸",2
10735,127.0296262,37.6441524,"µµºÀ±¸",1
10740,127.0298142,37.64380854,"µµºÀ±¸",1
10599,127.0298882,37.66214773,"µµºÀ±¸",2
10590,127.0299695,37.66215658,"µµºÀ±¸",2
10596,127.0299695,37.66215658,"µµºÀ±¸",2
10737,127.0302929,37.64349593,"µµºÀ±¸",1
10586,127.0308803,37.66200308,"µµºÀ±¸",2
10595,127.0308803,37.66200308,"µµºÀ±¸",2
10782,127.0309132,37.64315524,"µµºÀ±¸",1
10738,127.0309539,37.64308533,"µµºÀ±¸",1
10778,127.0309981,37.64323845,"µµºÀ±¸",1
10779,127.031083,37.64332165,"µµºÀ±¸",1
10781,127.031083,37.64332165,"µµºÀ±¸",1
10933,127.0311298,37.64297322,"µµºÀ±¸",1
10600,127.0311473,37.6622565,"µµºÀ±¸",2
10601,127.0311473,37.6622565,"µµºÀ±¸",2
10587,127.0312008,37.66203175,"µµºÀ±¸",2
10655,127.0313057,37.66227065,"µµºÀ±¸",2
10908,127.0313887,37.64312832,"µµºÀ±¸",1
10909,127.0313887,37.64312832,"µµºÀ±¸",1
10910,127.0313887,37.64312832,"µµºÀ±¸",1
10613,127.0314295,37.66228169,"µµºÀ±¸",2
10614,127.0314295,37.66228169,"µµºÀ±¸",2
10658,127.0315264,37.66205842,"µµºÀ±¸",2
10657,127.0315958,37.66206494,"µµºÀ±¸",2
10780,127.0316194,37.64389565,"µµºÀ±¸",1
10783,127.0317412,37.64406288,"µµºÀ±¸",1
10656,127.0317823,37.66208448,"µµºÀ±¸",2
10911,127.0319159,37.64369409,"µµºÀ±¸",1
10934,127.0319736,37.64243127,"µµºÀ±¸",1
