"X","long","lat","瘤锅林家","cluster"
6003,127.1075841,37.54632726,"堡柳备",4
6004,127.1076825,37.54629829,"堡柳备",4
6005,127.1083751,37.5460539,"堡柳备",4
6006,127.1086651,37.54587525,"堡柳备",4
6007,127.1083751,37.5460539,"堡柳备",4
6008,127.1087936,37.54595362,"堡柳备",4
6009,127.1088281,37.54581874,"堡柳备",4
6010,127.1087738,37.54572427,"堡柳备",4
6011,127.1074791,37.54437853,"堡柳备",4
6012,127.1065556,37.54426467,"堡柳备",4
6013,127.1065646,37.54465148,"堡柳备",4
6014,127.1065646,37.54465148,"堡柳备",4
6015,127.1048393,37.54525479,"堡柳备",4
6016,127.1048393,37.54525479,"堡柳备",4
6017,127.1051103,37.54512208,"堡柳备",4
6018,127.1049589,37.54520444,"堡柳备",4
6019,127.1044896,37.54482077,"堡柳备",4
6020,127.1041768,37.54472563,"堡柳备",4
6021,127.1033697,37.54385576,"堡柳备",4
6022,127.1029833,37.5435202,"堡柳备",4
6023,127.1026041,37.54329777,"堡柳备",4
6024,127.1044896,37.54482077,"堡柳备",4
6025,127.10437,37.5448499,"堡柳备",4
6026,127.1027521,37.54127113,"堡柳备",4
6027,127.0972322,37.54172397,"堡柳备",4
6028,127.0975027,37.54181414,"堡柳备",4
6029,127.1040994,37.54491256,"堡柳备",4
6030,127.1028401,37.54372191,"堡柳备",4
6031,127.103625,37.54455363,"堡柳备",4
6032,127.0983969,37.54211679,"堡柳备",4
6033,127.1028384,37.54531818,"堡柳备",4
6034,127.1037516,37.54501824,"堡柳备",4
6035,127.1039245,37.5449657,"堡柳备",4
6036,127.1026814,37.54583241,"堡柳备",4
6037,127.1027832,37.54580372,"堡柳备",4
6038,127.1033536,37.54561051,"堡柳备",4
6039,127.102737,37.54581673,"堡柳备",4
6040,127.1038464,37.54545347,"堡柳备",4
6041,127.1033092,37.54562122,"堡柳备",4
6042,127.1034091,37.54559712,"堡柳备",4
6043,127.1057638,37.54705501,"堡柳备",4
6044,127.1052743,37.54577561,"堡柳备",4
6045,127.1052743,37.54577561,"堡柳备",4
6046,127.1058473,37.54637806,"堡柳备",4
6047,127.1059014,37.54490439,"堡柳备",4
6048,127.1059014,37.54490439,"堡柳备",4
6049,127.1062767,37.54653718,"堡柳备",4
6050,127.1065936,37.54651266,"堡柳备",4
6051,127.1060467,37.5464863,"堡柳备",4
6052,127.1066432,37.54680459,"堡柳备",4
6053,127.1067175,37.54678422,"堡柳备",4
6054,127.1075252,37.54634462,"堡柳备",4
6055,127.1075252,37.54634462,"堡柳备",4
6056,127.1076336,37.54667263,"堡柳备",4
