"X","long","lat","지번주소","cluster"
21579,126.999538,37.55018143,"중구장",3
21609,126.9995739,37.54990264,"중구장",3
21571,126.9996189,37.55045013,"중구장",3
21607,126.9997367,37.55014205,"중구장",3
21608,126.9997641,37.55031098,"중구장",3
21606,126.9997699,37.54994208,"중구장",3
21570,126.9997713,37.55067292,"중구장",3
21588,126.999838,37.55047169,"중구장",3
21580,126.9999645,37.55061092,"중구장",3
21578,127.0003888,37.55120316,"중구장",3
21576,127.0005312,37.55132694,"중구장",3
21589,127.0005777,37.55109268,"중구장",3
21575,127.0006589,37.55142493,"중구장",3
21577,127.0006589,37.55142493,"중구장",3
21581,127.0007394,37.55118313,"중구장",3
21582,127.0007527,37.55135806,"중구장",3
21583,127.0008545,37.55128546,"중구장",3
21584,127.0008545,37.55128546,"중구장",3
21585,127.0012614,37.55166976,"중구장",3
21574,127.0012946,37.55191274,"중구장",3
21573,127.0019245,37.55241438,"중구장",3
21586,127.0020847,37.55233376,"중구장",3
21572,127.0021437,37.55267589,"중구장",2
21540,127.0022676,37.56913015,"중구방",4
21587,127.002308,37.5525707,"중구장",2
21603,127.0024057,37.55338287,"중구장",2
21554,127.0024509,37.56706693,"중구을",4
21569,127.0024759,37.55291098,"중구장",2
21553,127.0024954,37.56666948,"중구을",4
21551,127.0025884,37.56554236,"중구을",4
21552,127.0025884,37.56554236,"중구을",4
21605,127.002609,37.5533502,"중구장",2
21592,127.002642,37.55405472,"중구장",2
21547,127.0026554,37.56475974,"중구쌍",4
21546,127.0026658,37.56464395,"중구쌍",4
21545,127.0026751,37.56451719,"중구쌍",4
21549,127.0026959,37.56423622,"중구쌍",4
21591,127.0028153,37.5543406,"중구장",2
21596,127.0028382,37.554013,"중구장",2
21550,127.0028405,37.56248591,"중구쌍",4
21544,127.0028455,37.56242569,"중구쌍",4
21555,127.0028489,37.56238634,"중구장",4
21548,127.0028833,37.56353575,"중구쌍",4
21541,127.0029203,37.563271,"중구쌍",4
21597,127.0029458,37.55419684,"중구장",2
21557,127.002953,37.56117398,"중구장",4
21542,127.0029573,37.5630068,"중구쌍",4
21543,127.0029573,37.5630068,"중구쌍",4
21561,127.002958,37.56111543,"중구장",4
21558,127.0029609,37.56107772,"중구장",4
21559,127.003014,37.56038487,"중구장",4
21556,127.00303,37.56005376,"중구장",4
21560,127.0030347,37.55995533,"중구장",4
21564,127.0030417,37.55987842,"중구장",4
21565,127.0030417,37.55987842,"중구장",4
21563,127.0030832,37.55939207,"중구장",4
21590,127.0030869,37.55462331,"중구장",2
21598,127.0031505,37.5544388,"중구장",2
21562,127.0031829,37.55923863,"중구장",4
21594,127.0034355,37.55496304,"중구장",2
21602,127.003437,37.55511503,"중구장",2
21614,127.0034938,37.55912467,"중구장",4
21599,127.0036447,37.5548992,"중구장",2
21604,127.0036548,37.55531214,"중구장",2
21611,127.0037154,37.55554387,"중구장",2
21610,127.0038172,37.55560675,"중구장",2
21613,127.0039763,37.55572864,"중구장",2
21593,127.0042616,37.55615624,"중구장",2
21612,127.0048664,37.55726836,"중구장",2
21568,127.004909,37.55918741,"중구장",4
21566,127.0052368,37.55920747,"중구장",4
21567,127.0053071,37.55889696,"중구장",4
21601,127.005399,37.55832882,"중구장",4
21595,127.0055738,37.55885345,"중구장",4
21600,127.0056142,37.55873567,"중구장",4
