"X","long","lat","Áö¹øÁÖ¼Ò","cluster"
21615,127.074728,37.58584821,"Áß¶û±¸",2
21616,127.0745756,37.58491392,"Áß¶û±¸",2
21617,127.0751602,37.58543951,"Áß¶û±¸",2
21618,127.0736438,37.58722431,"Áß¶û±¸",2
21619,127.0738438,37.58693595,"Áß¶û±¸",2
21620,127.0712485,37.59028678,"Áß¶û±¸",2
21621,127.0712485,37.59028678,"Áß¶û±¸",2
21622,127.0715437,37.58895591,"Áß¶û±¸",2
21623,127.0715437,37.58895591,"Áß¶û±¸",2
21624,127.0721765,37.58784102,"Áß¶û±¸",2
21625,127.0721765,37.58784102,"Áß¶û±¸",2
21626,127.0729689,37.58686711,"Áß¶û±¸",2
21627,127.0729689,37.58686711,"Áß¶û±¸",2
21628,127.0733276,37.58392063,"Áß¶û±¸",2
21629,127.0725984,37.58472203,"Áß¶û±¸",2
21630,127.0733276,37.58392063,"Áß¶û±¸",2
21631,127.0736784,37.58601851,"Áß¶û±¸",2
21632,127.0729022,37.58506272,"Áß¶û±¸",2
21633,127.0732577,37.584671,"Áß¶û±¸",2
21634,127.0736966,37.58413579,"Áß¶û±¸",2
21635,127.075759,37.58171668,"Áß¶û±¸",2
21636,127.0736784,37.58601851,"Áß¶û±¸",2
21637,127.0745772,37.58304909,"Áß¶û±¸",2
21638,127.0749921,37.58256518,"Áß¶û±¸",2
21639,127.0751251,37.58248669,"Áß¶û±¸",2
21640,127.075759,37.58171668,"Áß¶û±¸",2
21641,127.0751787,37.58418506,"Áß¶û±¸",2
21642,127.0758751,37.58335717,"Áß¶û±¸",2
21643,127.0729022,37.58506272,"Áß¶û±¸",2
21644,127.0758751,37.58335717,"Áß¶û±¸",2
21645,127.0736966,37.58413579,"Áß¶û±¸",2
21646,127.0745772,37.58304909,"Áß¶û±¸",2
21647,127.0741782,37.58627444,"Áß¶û±¸",2
21648,127.0717247,37.58845269,"Áß¶û±¸",2
21649,127.0733667,37.58639547,"Áß¶û±¸",2
21650,127.0741782,37.58627444,"Áß¶û±¸",2
21651,127.0703663,37.58949394,"Áß¶û±¸",2
21652,127.0802204,37.59005675,"Áß¶û±¸",4
