"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","위도","경도"
"1","자연경관지구_118","UQF110","자연경관지구","83688","276","본동지구","19771203","37.5088929","126.9576046"
"2","자연경관지구_UQF11020120808523","UQF110","자연경관지구","UQF11020120808523","58029298","남산지구","20120712","37.5481364","126.9956331"
"3","시계경관지구_105","UQFP11","시계경관지구"," "," ","신월지구"," ","37.522561","126.8254369"
"5","자연경관지구_102","UQF110","자연경관지구","83704","276","서강지구","19771203","37.5515928","126.9414333"
"6","자연경관지구_67","UQF110","자연경관지구","101176","11000404","안암지구","20010613","37.5909498","127.0298839"
"8","11","UQF110","자연경관지구","UQF11020070129125","58001169","자연경관지구","20060727","37.6297961","127.0034316"
"9","자연경관지구_23","UQF110","자연경관지구","40576","2405","평창지구","20000417","37.605448","126.9675221"
"10","13","UQF110","자연경관지구","UQF11020071009137","58005210","자연경관지구","20070628","37.584236","127.0613881"
"11","자연경관지구_UQF11020091203001","UQF110","자연경관지구","UQF11020091203001","58019631","자연경관지구","20091119","37.581147","126.9743089"
"14","시계경관지구_117","UQFP11","시계경관지구","116785","11200716","시흥지구","20050519","37.4430552","126.9014106"
"18","자연경관지구_38","UQF110","자연경관지구","35506","4471","마포지구","19980311","37.5351659","126.9453618"
"22","자연경관지구_00001","UQF110","자연경관지구"," "," ","자연경관지구"," ","37.5690414","126.9258381"
"23","9","UQF110","자연경관지구","UQF11020061117119","9577","자연경관지구","20060831","37.5934468","126.9972961"
"4","시계경관지구_104","UQFP11","시계경관지구","35127","5100256","신월지구","19960719","37.5304323","126.8253678"
"7","자연경관지구_95","UQF110","자연경관지구","UQF11020060201050","8234","안산지구","20060126","37.5747165","126.9437697"
"12","자연경관지구_42","UQF110","자연경관지구","30306","1658","효창지구","19950106","37.5452771","126.9647293"
"13","자연경관지구_120596","UQF110","자연경관지구","120596","1047","자연경관지구","19910109","37.5064455","126.9308267"
"15","자연경관지구_53","UQF110","자연경관지구","67893","2995","행당지구","19891108","37.5588802","127.0454201"
"20","자연경관지구_59","UQF110","자연경관지구","103905","12000163","능동지구","20020308","37.5471415","127.0791949"
"16","775","UQF110","자연경관지구","UQF11020060522077","9084","경관지구(금호지구)","20060216","37.5395821","127.00935"
"17","자연경관지구_124","UQF110","용도지구","83669","276","풍치지구","19980311","37.5479453","126.855485"
"21","자연경관지구_56","UQF110","자연경관지구","62878","3893","광장지구","19860409","37.5471424","127.0992754"
"19","시계경관지구_128","UQFP11","시계경관지구","110187","13500327","세곡지구","20031226","37.4702093","127.1247427"
"24","15","UQF110","자연경관지구","UQF11020090501308","58014986","자연경관지구","20090423","37.5969332","127.0491606"
