"측정일시","지점명","지점코드","SAWS온도(평균)","SAWS습도(평균)","풍향1","풍향2","SAWS풍속(평균)","SAWS누적강수량","SAWS일사량","SAWS일조량"
"2019062414","남산","1151","29.6","31.6","13","서","2.6","0","19.2","8.5"
"2019062414","동대문","1152","30.5","37.9","11","남서","2.3","0","",""
"2019062414","성북","1153","31.1","37.6","15","북서","2.1","0.5","",""
"2019062414","마포","1155","29.8","40.9","13","서","2.2","0","",""
"2019062414","구로","1156","29.4","36.2","13","서","4.4","0","",""
"2019062414","서초","1158","30.2","37.3","12","서남서","3.6","0","20.6","8.9"
"2019062414","강남","1159","29.9","39.9","14","서북서","2.1","0","",""
"2019062414","노원","1163","30.9","37.5","10","남남서","1.2","0","10.4","7.4"
"2019062414","광진","1164","30.5","40.8","11","남서","2.7","0","",""
"2019062414","강북","1165","31.1","9.8","12","서남서","2","0","",""
"2019062414","송파","1166","31.1","35.8","10","남남서","1.5","0","",""
"2019062414","용산","1167","30.5","","","","3","0","",""
"2019062414","중구","1170","30.1","36.1","11","남서","2.6","0","",""
"2019062414","은평","1172","29.2","","","","2.8","0","21.3","8.9"
"2019062414","동작","1173","30.4","31.3","11","남서","3.6","0","",""
"2019062414","강동","1175","30.6","27.2","12","서남서","2.3","0","3.5","1.2"
