"","X","long","lat","瘤锅林家","cluster"
"1",15098,127.1194829,37.49200285,"价颇备",1
"2",15099,127.1202541,37.49082728,"价颇备",1
"3",15100,127.1230131,37.49462976,"价颇备",1
"4",15101,127.1192336,37.49234208,"价颇备",1
"5",15102,127.1189921,37.49261116,"价颇备",1
"6",15103,127.1192336,37.49234208,"价颇备",1
"7",15104,127.1192336,37.49234208,"价颇备",1
"8",15105,127.1191149,37.49285087,"价颇备",1
"9",15106,127.1197221,37.49315641,"价颇备",1
"10",15107,127.1205801,37.49363254,"价颇备",1
"11",15108,127.1215248,37.49381541,"价颇备",1
"12",15109,127.1212817,37.49401643,"价颇备",1
"13",15110,127.1229419,37.49492781,"价颇备",1
"14",15111,127.1193291,37.49261652,"价颇备",1
"15",15112,127.1195171,37.49305094,"价颇备",1
"16",15113,127.1235906,37.494979,"价颇备",1
"17",15114,127.1234985,37.49527706,"价颇备",1
"18",15115,127.1245611,37.49583803,"价颇备",1
"19",15116,127.1243539,37.49604369,"价颇备",1
"20",15117,127.124465,37.49571922,"价颇备",1
"21",15118,127.1246283,37.49644208,"价颇备",1
"22",15119,127.1248169,37.49688002,"价颇备",1
"23",15120,127.1255712,37.49843191,"价颇备",1
"24",15121,127.1261263,37.49961855,"价颇备",8
"25",15122,127.1268538,37.5002892,"价颇备",8
"26",15123,127.1265199,37.50034983,"价颇备",8
"27",15124,127.1271784,37.50071324,"价颇备",8
"28",15125,127.1273973,37.50140446,"价颇备",8
"29",15126,127.126392,37.49941735,"价颇备",8
"30",15127,127.126912,37.50088585,"价颇备",8
"31",15128,127.1203354,37.49068445,"价颇备",1
"32",15129,127.1202945,37.49075622,"价颇备",1
"33",15130,127.1208623,37.48966473,"价颇备",1
"34",15131,127.1208623,37.48966473,"价颇备",1
"35",15132,127.1212146,37.48900036,"价颇备",1
"36",15133,127.1212146,37.48900036,"价颇备",1
"37",15134,127.1212518,37.48911596,"价颇备",1
"38",15135,127.124985,37.49641343,"价颇备",1
"39",15136,127.1251392,37.49675339,"价颇备",1
"40",15137,127.1258174,37.49819177,"价颇备",1
"41",15138,127.1337299,37.49851209,"价颇备",5
"42",15139,127.1337299,37.49851209,"价颇备",5
"43",15140,127.1321071,37.49936082,"价颇备",5
"44",15141,127.1327411,37.49905637,"价颇备",5
"45",15142,127.1390918,37.495617,"价颇备",5
"46",15143,127.1343568,37.49816947,"价颇备",5
"47",15144,127.1343568,37.49816947,"价颇备",5
"48",15145,127.1343568,37.49816947,"价颇备",5
"49",15146,127.1343568,37.49816947,"价颇备",5
"50",15147,127.1350026,37.49782366,"价颇备",5
"51",15148,127.1365324,37.49700205,"价颇备",5
"52",15149,127.1362001,37.49718615,"价颇备",5
"53",15150,127.1368131,37.49685592,"价颇备",5
"54",15151,127.1366491,37.4969413,"价颇备",5
"55",15152,127.137017,37.49674494,"价颇备",5
"56",15153,127.1379644,37.49622948,"价颇备",5
"57",15154,127.1384119,37.49598861,"价颇备",5
"58",15155,127.1382937,37.49604883,"价颇备",5
"59",15156,127.1383398,37.49602537,"价颇备",5
"60",15157,127.1291734,37.5011356,"价颇备",8
"61",15158,127.1318593,37.49952851,"价颇备",5
"62",15159,127.1284255,37.50164441,"价颇备",8
"63",15160,127.1320459,37.49686356,"价颇备",5
"64",15161,127.1319779,37.49680747,"价颇备",5
"65",15162,127.1320459,37.49686356,"价颇备",5
"66",15163,127.1319248,37.49676366,"价颇备",5
"67",15164,127.1328592,37.49753014,"价颇备",5
"68",15165,127.1325515,37.49732092,"价颇备",5
"69",15166,127.1326454,37.49739817,"价颇备",5
"70",15167,127.1326676,37.49723624,"价颇备",5
